pmcid,registry_index,publication_pmid,publication_title,dataset/provenance__bleu,dataset/provenance__rougeL,dataset/provenance__meteor,dataset/provenance__bertscore,dataset/splits__bleu,dataset/splits__rougeL,dataset/splits__meteor,dataset/splits__bertscore,dataset/redundancy__bleu,dataset/redundancy__rougeL,dataset/redundancy__meteor,dataset/redundancy__bertscore,dataset/availability__bleu,dataset/availability__rougeL,dataset/availability__meteor,dataset/availability__bertscore,optimization/algorithm__bleu,optimization/algorithm__rougeL,optimization/algorithm__meteor,optimization/algorithm__bertscore,optimization/meta__bleu,optimization/meta__rougeL,optimization/meta__meteor,optimization/meta__bertscore,optimization/encoding__bleu,optimization/encoding__rougeL,optimization/encoding__meteor,optimization/encoding__bertscore,optimization/parameters__bleu,optimization/parameters__rougeL,optimization/parameters__meteor,optimization/parameters__bertscore,optimization/features__bleu,optimization/features__rougeL,optimization/features__meteor,optimization/features__bertscore,optimization/fitting__bleu,optimization/fitting__rougeL,optimization/fitting__meteor,optimization/fitting__bertscore,optimization/regularization__bleu,optimization/regularization__rougeL,optimization/regularization__meteor,optimization/regularization__bertscore,optimization/config__bleu,optimization/config__rougeL,optimization/config__meteor,optimization/config__bertscore,model/interpretability__bleu,model/interpretability__rougeL,model/interpretability__meteor,model/interpretability__bertscore,model/output__bleu,model/output__rougeL,model/output__meteor,model/output__bertscore,model/duration__bleu,model/duration__rougeL,model/duration__meteor,model/duration__bertscore,model/availability__bleu,model/availability__rougeL,model/availability__meteor,model/availability__bertscore,evaluation/method__bleu,evaluation/method__rougeL,evaluation/method__meteor,evaluation/method__bertscore,evaluation/measure__bleu,evaluation/measure__rougeL,evaluation/measure__meteor,evaluation/measure__bertscore,evaluation/comparison__bleu,evaluation/comparison__rougeL,evaluation/comparison__meteor,evaluation/comparison__bertscore,evaluation/confidence__bleu,evaluation/confidence__rougeL,evaluation/confidence__meteor,evaluation/confidence__bertscore,evaluation/availability__bleu,evaluation/availability__rougeL,evaluation/availability__meteor,evaluation/availability__bertscore
PMC1421439,0,16524483,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,,,,,,,,,,,,,0.0,0.0,0.0,0.2623079717159271,0.0,0.031578947368421054,0.1069270106927011,0.36771270632743835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.012121212121212121,0.0,0.24648453295230865,,,,,,,,,,,,,0.0,0.018575851393188854,0.013586956521739134,0.39215388894081116,,,,,,,,,,,,,,,,
PMC1892091,1,17570862,Learning biophysically-motivated parameters for alpha helix prediction,0.0,0.14130434782608697,0.21212121212121213,0.5266566872596741,0.0,0.10526315789473684,0.22692054845980464,0.44583919644355774,0.0,0.08144796380090498,0.20977590331109155,0.5045662522315979,,,,,0.01904081999861847,0.07960199004975124,0.2991345966552578,0.4848209321498871,,,,,0.0,0.03617571059431524,0.09803921568627452,0.4084407091140747,,,,,0.0,0.031746031746031744,0.09505703422053234,0.36714935302734375,0.01148963659362876,0.03367003367003367,0.07399577167019028,0.4188137948513031,0.0,0.025641025641025644,0.10162601626016261,0.40911993384361267,,,,,0.0,0.039702233250620354,0.11943945382680561,0.45976558327674866,0.0,0.013793103448275862,0.028248587570621476,0.31545203924179077,,,,,,,,,0.0,0.01176470588235294,0.0,0.3144996464252472,0.0,0.04347826086956522,0.1517398181099249,0.41803866624832153,0.0,0.02359882005899705,0.07430997876857752,0.40471091866493225,0.0,0.00684931506849315,0.030769230769230778,0.22218729555606842,0.0,0.5714285714285715,0.4166666666666667,0.6447667479515076
PMC2213690,2,17888165,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,0.0,0.06374501992031872,0.14256619144602853,0.48591744899749756,0.0,0.05490196078431373,0.14099783080260303,0.47172877192497253,0.0,0.02222222222222222,0.07500000000000001,0.4334741234779358,,,,,0.0,0.024489795918367346,0.1377952755905512,0.42437636852264404,,,,,0.0,0.014634146341463415,0.031712473572938694,0.35727012157440186,0.0,0.05243445692883895,0.09732360097323603,0.3570273518562317,0.0,0.04065040650406504,0.14489179357543625,0.369564950466156,0.007467033482968716,0.045226130653266326,0.11188380281690141,0.41559386253356934,0.0,0.0,0.0,0.2436738908290863,,,,,0.0,0.05217391304347826,0.17295346628679964,0.47217801213264465,,,,,0.0,0.28571428571428575,0.20833333333333334,0.5375087857246399,,,,,0.0,0.010526315789473682,0.011737089201877937,0.27772945165634155,0.0,0.011049723756906079,0.04618226600985222,0.29420948028564453,0.0,0.02112676056338028,0.05494505494505496,0.3528399169445038,0.0,0.02693602693602694,0.13501155179052754,0.4214232265949249,,,,
PMC1847686,3,17374164,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,,,,,,,,,0.0,0.0380952380952381,0.1359223300970874,0.4429279565811157,0.0,0.0,0.0,0.3453431725502014,0.0,0.008264462809917356,0.016778523489932886,0.3504175841808319,0.0,0.0,0.0,0.37847715616226196,,,,,,,,,0.0,0.00930232558139535,0.019920318725099605,0.2748228907585144,0.0,0.011428571428571429,0.023696682464454978,0.3835885524749756,,,,,,,,,0.0,0.014705882352941178,0.059148264984227136,0.2541763186454773,0.0,0.024096385542168672,0.08771929824561404,0.4043389856815338,,,,,,,,,0.0,0.011976047904191616,0.03787878787878789,0.2928643524646759,0.0,0.023437499999999997,0.07267441860465118,0.39236125349998474,0.0,0.0,0.0,0.338628351688385,,,,,,,,
PMC2561051,4,18808707,Combining classifiers for improved classification of proteins from sequence or structure,0.0,0.14285714285714288,0.2728613569321534,0.5227804780006409,0.0,0.07643312101910828,0.09333333333333334,0.43984854221343994,0.0,0.04904632152588556,0.1192660550458716,0.43252110481262207,0.0,0.0,0.0,0.2848551273345947,0.0,0.019900497512437807,0.07874015748031497,0.40418383479118347,,,,,0.0,0.14285714285714285,0.10416666666666666,0.43001431226730347,0.0,0.0,0.032051282051282055,0.34359946846961975,,,,,0.0,0.0,0.031250000000000014,0.23759886622428894,0.0,0.0,0.0,0.17778803408145905,0.0,0.006688963210702341,0.026455026455026457,0.3464421331882477,,,,,0.0,0.029197080291970802,0.03125000000000001,0.39646655321121216,0.0,0.28571428571428575,0.20833333333333334,0.5063380002975464,0.0,0.0,0.0,0.33262312412261963,0.0,0.010498687664041995,0.033632286995515695,0.35049930214881897,0.0,0.024096385542168672,0.034129692832764506,0.3728177547454834,0.0,0.018018018018018018,0.055555555555555566,0.3717474937438965,0.0,0.010050251256281405,0.021834061135371185,0.23774728178977966,0.0,0.0,0.0,0.3373590111732483
PMC2275242,5,18221567,Gene function prediction using labeled and unlabeled data.,0.0,0.05106382978723404,0.11625000000000002,0.4237844944000244,0.0,0.03146067415730337,0.07142857142857145,0.3698607385158539,0.0,0.28571428571428575,0.20833333333333334,0.5322500467300415,,,,,0.0,0.010204081632653062,0.038461538461538464,0.37052232027053833,,,,,0.0,0.006389776357827477,0.0138121546961326,0.27115991711616516,0.0,0.06504065040650406,0.14211886304909563,0.4339810311794281,0.0,0.027027027027027025,0.13965707964601773,0.38629958033561707,0.0,0.0048543689320388345,0.01098901098901099,0.2444518804550171,,,,,,,,,,,,,0.0,0.0,0.0,0.3577527105808258,,,,,0.0,0.0,0.0,0.25740641355514526,0.0,0.015625,0.02298850574712644,0.37946608662605286,0.0,0.010416666666666666,0.021186440677966104,0.3062853515148163,0.0,0.020460358056265986,0.03348214285714286,0.40468961000442505,,,,,,,,
PMC2665034,6,18586734,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,0.0,0.06167400881057269,0.1195219123505976,0.49373945593833923,0.0,0.12857142857142856,0.23454282878798252,0.5259774923324585,0.0,0.026578073089700997,0.07675438596491228,0.45105263590812683,0.0,0.07758620689655173,0.16129032258064518,0.44775062799453735,0.0,0.0,0.0,0.30972087383270264,,,,,0.0,0.0,0.021786492374727674,0.272940456867218,0.01707450694410857,0.05860805860805861,0.16059957173447542,0.4339684247970581,0.0,0.0750853242320819,0.1704545454545455,0.4946628510951996,0.0,0.07801418439716312,0.1851851851851852,0.445168673992157,0.0,0.02553191489361702,0.058139534883720936,0.4049459397792816,0.0,0.017094017094017092,0.05830903790087465,0.42725518345832825,0.0,0.027027027027027025,0.04819277108433736,0.37883448600769043,0.0,0.0588235294117647,0.12396694214876036,0.45816975831985474,,,,,0.0,0.12612612612612611,0.17721518987341772,0.45932692289352417,0.0,0.0345679012345679,0.13418228099668547,0.4373866617679596,0.0,0.04982206405693951,0.10729613733905581,0.43016135692596436,0.0,0.05490196078431373,0.12452107279693488,0.47535860538482666,0.0,0.04416403785488959,0.16109936857876717,0.43593311309814453,0.0,0.08333333333333334,0.15521064301552107,0.4361656606197357
PMC2638158,7,19091017,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,0.0,0.0975609756097561,0.1953686660221132,0.47848978638648987,0.0,0.1183098591549296,0.23481318175745813,0.5574108958244324,,,,,0.0,0.05633802816901408,0.1760619188503804,0.4735510051250458,0.0,0.08552631578947369,0.16425755584756901,0.4992668032646179,,,,,0.0,0.07052896725440806,0.17520841978196083,0.5207247138023376,,,,,0.0,0.052631578947368425,0.02487562189054727,0.3614356219768524,0.0,0.09999999999999999,0.022026431718061675,0.3380437195301056,0.0,0.0,0.017730496453900707,0.3570817708969116,0.0,0.0,0.030303030303030304,0.43023985624313354,0.0,0.13574660633484162,0.22357723577235772,0.5094640254974365,0.0,0.059602649006622516,0.1724137931034483,0.4573638439178467,0.0,0.0588235294117647,0.03508771929824561,0.38954150676727295,0.0,0.0,0.03333333333333333,0.3300136625766754,0.0,0.08571428571428572,0.18053375196232338,0.47304102778434753,0.01075188001955536,0.062146892655367235,0.14195583596214514,0.4711414575576782,0.0,0.09737827715355805,0.2305535442630625,0.4927524924278259,0.017404807631359806,0.10714285714285714,0.33563445101906647,0.4550548493862152,0.0,0.0,0.07246376811594203,0.3262068033218384
PMC2752621,9,19667082,PineSAP--sequence alignment and SNP identification pipeline.,0.0,0.06349206349206349,0.0843170320404722,0.43477559089660645,0.0,0.0,0.0053590568060021436,0.3462248742580414,0.0,0.0,0.0035919540229885057,0.30954450368881226,0.0,0.0,0.0,0.21999545395374298,0.0,0.017241379310344824,0.04601226993865031,0.3852623999118805,,,,,0.0,0.1509433962264151,0.1953141642169394,0.5354518294334412,0.0,0.0,0.03787878787878788,0.4079628884792328,0.0,0.052083333333333336,0.08445945945945947,0.37414494156837463,0.0,0.0,0.0,0.4119868576526642,,,,,,,,,0.0,0.013289036544850499,0.054505813953488386,0.282524436712265,0.0,0.10650887573964499,0.13944223107569723,0.48901548981666565,,,,,,,,,0.0,0.03225806451612903,0.07309941520467837,0.3905247151851654,0.0,0.04013377926421404,0.14164305949008496,0.44627636671066284,0.0,0.05343511450381679,0.14654522001557635,0.5271117091178894,0.0,0.07692307692307693,0.04504504504504504,0.48912572860717773,,,,
PMC2660303,10,19154573,"Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.",0.0,0.059782608695652176,0.1430615164520744,0.4429454803466797,0.0,0.03791469194312796,0.097799511002445,0.4536999464035034,0.0,0.07380073800738007,0.15968063872255492,0.5234339237213135,0.0,0.027522935779816512,0.07621951219512195,0.39983466267585754,0.0,0.04945054945054945,0.12658227848101267,0.44438105821609497,,,,,0.0,0.049999999999999996,0.14469453376205788,0.4998210370540619,0.0,0.014925373134328356,0.02673796791443851,0.37254005670547485,0.0,0.13756613756613756,0.2580642777805271,0.5391292572021484,0.0,0.0332409972299169,0.09719222462203025,0.4076674282550812,0.0,0.09917355371900827,0.19774011299435032,0.5103909969329834,0.0,0.09016393442622951,0.20566343042071195,0.47753676772117615,0.0,0.013422818791946308,0.02976190476190477,0.25734400749206543,0.0,0.0,0.03095975232198143,0.36048370599746704,,,,,,,,,0.0,0.09798270893371758,0.18497757847533636,0.4727935492992401,0.0,0.07612456747404844,0.21130282422820823,0.5001461505889893,0.0,0.06832298136645962,0.14317180616740088,0.5133752226829529,0.0,0.05405405405405406,0.15929203539823011,0.47457200288772583,,,,
