pmcid,registry_index,publication_pmid,publication_title,dataset/provenance__bleu,dataset/provenance__rougeL,dataset/provenance__meteor,dataset/provenance__bertscore,dataset/splits__bleu,dataset/splits__rougeL,dataset/splits__meteor,dataset/splits__bertscore,dataset/redundancy__bleu,dataset/redundancy__rougeL,dataset/redundancy__meteor,dataset/redundancy__bertscore,dataset/availability__bleu,dataset/availability__rougeL,dataset/availability__meteor,dataset/availability__bertscore,optimization/algorithm__bleu,optimization/algorithm__rougeL,optimization/algorithm__meteor,optimization/algorithm__bertscore,optimization/meta__bleu,optimization/meta__rougeL,optimization/meta__meteor,optimization/meta__bertscore,optimization/encoding__bleu,optimization/encoding__rougeL,optimization/encoding__meteor,optimization/encoding__bertscore,optimization/parameters__bleu,optimization/parameters__rougeL,optimization/parameters__meteor,optimization/parameters__bertscore,optimization/features__bleu,optimization/features__rougeL,optimization/features__meteor,optimization/features__bertscore,optimization/fitting__bleu,optimization/fitting__rougeL,optimization/fitting__meteor,optimization/fitting__bertscore,optimization/regularization__bleu,optimization/regularization__rougeL,optimization/regularization__meteor,optimization/regularization__bertscore,optimization/config__bleu,optimization/config__rougeL,optimization/config__meteor,optimization/config__bertscore,model/interpretability__bleu,model/interpretability__rougeL,model/interpretability__meteor,model/interpretability__bertscore,model/output__bleu,model/output__rougeL,model/output__meteor,model/output__bertscore,model/duration__bleu,model/duration__rougeL,model/duration__meteor,model/duration__bertscore,model/availability__bleu,model/availability__rougeL,model/availability__meteor,model/availability__bertscore,evaluation/method__bleu,evaluation/method__rougeL,evaluation/method__meteor,evaluation/method__bertscore,evaluation/measure__bleu,evaluation/measure__rougeL,evaluation/measure__meteor,evaluation/measure__bertscore,evaluation/comparison__bleu,evaluation/comparison__rougeL,evaluation/comparison__meteor,evaluation/comparison__bertscore,evaluation/confidence__bleu,evaluation/confidence__rougeL,evaluation/confidence__meteor,evaluation/confidence__bertscore,evaluation/availability__bleu,evaluation/availability__rougeL,evaluation/availability__meteor,evaluation/availability__bertscore
PMC10087011,219,37039115,Delineating Regions-of-interest for Mass Spectrometry Imaging by Multimodally Corroborated Spatial Segmentation,0.0,0.0,0.0,0.3786866366863251,0.0,0.2,0.19230769230769235,0.4838365912437439,0.0,0.2,0.19230769230769235,0.4838365912437439,0.0,0.0,0.0,0.34807369112968445,0.0,0.07142857142857144,0.027932960893854747,0.3149719536304474,,,,,0.0,0.01785714285714286,0.004712535344015081,0.3353129029273987,0.0,0.05555555555555556,0.019920318725099598,0.3755633533000946,0.0,0.0303030303030303,0.008833922261484098,0.3309340178966522,,,,,0.0,0.2,0.19230769230769235,0.4838365912437439,0.0,0.2,0.19230769230769235,0.4838365912437439,0.0,0.2,0.19230769230769235,0.4838365912437439,0.0,0.0,0.0,0.36564546823501587,0.0,0.0,0.0,0.29234299063682556,0.0,0.0,0.0,0.3148060142993927,0.0,0.07692307692307691,0.027932960893854747,0.36991751194000244,0.0,0.0,0.0,0.3993419408798218,0.0,0.015625,0.004212299915754001,0.31854790449142456,0.0,0.2,0.19230769230769235,0.477042555809021,,,,
PMC10174551,211,37126495,ResMiCo: Increasing the quality of metagenome-assembled genomes with deep learning,0.0050369181297928054,0.027173913043478264,0.043962485345838215,0.39561012387275696,0.04919571869953044,0.22916666666666669,0.2565528003316022,0.5504096746444702,0.05479978598202479,0.2594594594594595,0.40170289855072466,0.5694802403450012,0.0777740950723982,0.13793103448275865,0.12722646310432573,0.5118274092674255,0.0,0.13559322033898308,0.2227544910179641,0.4724222421646118,,,,,0.0,0.12499999999999999,0.24175786842680003,0.5076678991317749,0.0,0.05714285714285714,0.126984126984127,0.4335295855998993,0.0,0.1320754716981132,0.266533240515141,0.4600924849510193,0.0,0.03418803418803419,0.19227261819054478,0.4479832351207733,0.0,0.08035714285714286,0.1800316330565441,0.42505595088005066,0.149004384204217,0.30463576158940403,0.3097874049974315,0.6060075163841248,0.0,0.1244019138755981,0.1755379388448471,0.47121864557266235,,,,,0.0,0.039603960396039604,0.03397508493771235,0.34520310163497925,0.08418046470730997,0.12903225806451613,0.08580343213728549,0.5572149157524109,0.0,0.15730337078651685,0.18072289156626506,0.4883969724178314,0.014625233908486418,0.12359550561797752,0.3070282101167315,0.49216794967651367,0.0,0.16666666666666669,0.03480278422273782,0.5378499627113342,0.0,0.12500000000000003,0.10658914728682171,0.4686528146266937,0.0,0.08695652173913043,0.05847953216374269,0.37034016847610474
PMC10316696,217,37395630,Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.,0.0,0.1702127659574468,0.20070950796399958,0.506005585193634,0.0,0.028169014084507043,0.04878048780487805,0.3178955316543579,0.0,0.0320855614973262,0.12113320707070709,0.3826954662799835,,,,,0.0,0.04651162790697674,0.024360535931790498,0.43899786472320557,,,,,0.0,0.04807692307692307,0.08816120906801009,0.4312267601490021,0.0,0.0392156862745098,0.11002444987775062,0.4127597212791443,0.0,0.1283422459893048,0.13202620791906508,0.4463968873023987,0.0,0.0,0.037037037037037035,0.4275065064430237,0.0,0.05263157894736842,0.07772020725388601,0.45868727564811707,,,,,0.0,0.15555555555555556,0.20623929714838804,0.47408708930015564,0.0,0.06666666666666667,0.15873015873015875,0.459354966878891,0.0,0.0,0.0,0.3076517879962921,,,,,0.0,0.016129032258064516,0.0,0.3542231023311615,0.0,0.0,0.0,0.26337942481040955,0.0,0.2,0.08771929824561403,0.5205305218696594,0.0,0.0,0.0,0.2569405734539032,,,,
PMC10367125,209,37489753,MuLan-Methyl—multiple transformer-based language models for accurate DNA methylation prediction,0.0,0.1379310344827586,0.10668563300142248,0.4105704128742218,0.0,0.07086614173228346,0.08595988538681949,0.33771413564682007,0.0,0.1045751633986928,0.21689419795221845,0.44867318868637085,0.0,0.0,0.07968127490039842,0.40517374873161316,0.0,0.2580645161290323,0.3097222222222223,0.5307268500328064,0.0,0.07692307692307691,0.07142857142857142,0.38893213868141174,0.0,0.08968609865470852,0.2281014381533366,0.5144620537757874,0.0,0.12987012987012986,0.11764705882352941,0.4902671277523041,0.0,0.19047619047619052,0.11945392491467578,0.4049188792705536,0.0,0.09424083769633508,0.1931818181818182,0.47602200508117676,0.0,0.16,0.18930041152263377,0.525540828704834,0.0,0.0,0.025252525252525256,0.34613725543022156,0.0,0.1276595744680851,0.18229166666666666,0.4930191934108734,0.0,0.125,0.18292682926829273,0.4915921986103058,0.0,0.0,0.0,0.2690895199775696,0.0,0.14285714285714288,0.1618705035971223,0.3864545226097107,0.0,0.07246376811594203,0.20150917509861094,0.4847314655780792,0.0,0.4800000000000001,0.21644106034968977,0.654486894607544,0.0,0.27027027027027023,0.08733624454148471,0.5131875276565552,0.0,0.08,0.04201680672268908,0.4298330545425415,0.0,0.08333333333333334,0.10344827586206898,0.44848108291625977
PMC10441000,208,37602759,KGML-xDTD: a knowledge graph–based machine learning framework for drug treatment prediction and mechanism description ,0.0,0.15909090909090912,0.1170212765957447,0.46998506784439087,0.06328334794672189,0.23188405797101447,0.2039978437468659,0.5145705938339233,0.07864896089401796,0.1791044776119403,0.26109412764454654,0.5126712918281555,0.0,0.05555555555555556,0.07462686567164178,0.3737247586250305,0.0,0.20833333333333331,0.3186425715324297,0.5635582804679871,0.0,0.0392156862745098,0.03861003861003861,0.36636215448379517,0.04833131687694334,0.18181818181818185,0.3818406343429092,0.5905604958534241,0.0,0.10309278350515463,0.1149425287356322,0.4895715117454529,0.0,0.11111111111111113,0.043782837127845885,0.39838990569114685,0.0,0.14285714285714282,0.22615872896634615,0.4973865747451782,0.0,0.16901408450704225,0.13477088948787064,0.5023880004882812,0.0,0.13953488372093023,0.13071895424836605,0.48996275663375854,0.0,0.15686274509803924,0.2679284004104436,0.5301210880279541,0.0,0.10256410256410256,0.154639175257732,0.4676945209503174,0.0,0.0,0.03246753246753247,0.461919903755188,0.17089529170262358,0.3380281690140845,0.2543492063492064,0.5933707356452942,0.0,0.08,0.31794871794871804,0.47908228635787964,0.0,0.22499999999999998,0.2607968016363721,0.4871462285518646,0.0,0.09999999999999999,0.0,0.4198509454727173,0.0,0.0,0.0,0.3348158299922943,0.0,0.1111111111111111,0.0819672131147541,0.3866603672504425
PMC10483879,199,,Protein intrinsically disordered region prediction by combining neural architecture search and multi-objective genetic algorithm,0.0,0.11494252873563217,0.24031693989071043,0.45186853408813477,0.0,0.04195804195804197,0.07621951219512196,0.29929977655410767,0.0,0.16304347826086957,0.20511914657799948,0.4565885365009308,0.1571211585395443,0.32142857142857145,0.15810276679841898,0.5924175381660461,0.0,0.0730593607305936,0.10068114091102598,0.5353084206581116,0.0,0.1,0.059523809523809514,0.40962472558021545,0.2572888540334792,0.4968944099378882,0.7072400271107668,0.7456700205802917,,,,,0.0,0.1774193548387097,0.24746341749508813,0.5205761790275574,,,,,,,,,,,,,0.0,0.11764705882352942,0.21615646258503401,0.4666133522987366,0.0,0.0625,0.03225806451612904,0.40585121512413025,0.0,0.18181818181818182,0.10000000000000002,0.4602638781070709,0.0,0.1,0.2587090163934426,0.45931166410446167,0.0,0.09022556390977444,0.1619433198380567,0.4934499263763428,0.0,0.05714285714285715,0.06535947712418301,0.3848132789134979,0.0,0.0784313725490196,0.0,0.3742450475692749,,,,,,,,
PMC10541796,207,37776368,Confound-leakage: confound removal in machine learning leads to leakage,0.02840212315771941,0.21296296296296294,0.19826537911301859,0.5867156386375427,0.0,0.03773584905660377,0.04283965728274174,0.38215237855911255,0.03614570729303395,0.18543046357615894,0.18181818181818182,0.5123857259750366,0.04145169799851755,0.08727272727272728,0.09223300970873786,0.41117775440216064,0.0,0.3764705882352941,0.2931418080546415,0.6166664361953735,0.0,0.15384615384615385,0.0949367088607595,0.4967823326587677,0.0,0.10526315789473685,0.20270270270270271,0.5345066785812378,0.0,0.014285714285714289,0.03211991434689507,0.41965043544769287,0.0,0.04,0.07494103773584905,0.4608740210533142,0.0,0.1452513966480447,0.18325200023685875,0.48556971549987793,0.0,0.0,0.03067484662576687,0.4016483426094055,0.0,0.025641025641025637,0.2662037037037038,0.47850659489631653,0.0,0.13559322033898308,0.12913379854368934,0.435492604970932,0.0,0.0909090909090909,0.13986013986013987,0.4617844820022583,0.0,0.0,0.03048780487804878,0.31662702560424805,0.0,0.15,0.1869346733668342,0.34327951073646545,0.0,0.12244897959183675,0.026595744680851064,0.4634644687175751,0.0,0.058823529411764705,0.040160642570281124,0.45623525977134705,0.04580792682119725,0.15706806282722516,0.24499032860814154,0.5255207419395447,0.05050556765478945,0.1917808219178082,0.2847531256622165,0.5018541812896729,0.0,0.20689655172413793,0.15678254942058623,0.3703612685203552
PMC10600917,205,37882604,Machine learning–based feature selection to search stable microbial biomarkers: application to inflammatory bowel disease,0.050996891268266585,0.11504424778761062,0.17700434523302377,0.5435791015625,0.0,0.046511627906976744,0.06426735218508998,0.3513653874397278,0.0,0.13756613756613756,0.21259842519685043,0.49452412128448486,0.0,0.032786885245901634,0.0556792873051225,0.3998764157295227,0.0,0.1408450704225352,0.11705299403712102,0.4937129318714142,0.0,0.03921568627450981,0.011441647597254004,0.40246260166168213,0.030565077361608555,0.11585365853658536,0.2858129315756434,0.5589332580566406,0.0,0.08556149732620322,0.21285313393761715,0.46567872166633606,0.24562725357511972,0.4050632911392405,0.34212206686074287,0.6077231168746948,0.01807443312037323,0.08588957055214724,0.24157791458829522,0.497219055891037,0.0,0.2916666666666667,0.18815804369976225,0.49058619141578674,0.0,0.0,0.020576131687242802,0.3295813798904419,0.0,0.08064516129032258,0.27928682887360573,0.541895866394043,0.0,0.186046511627907,0.24647887323943668,0.5136263370513916,0.0,0.08333333333333333,0.089159604519774,0.40712806582450867,0.19058864535419662,0.372093023255814,0.21739130434782608,0.6396275162696838,0.0,0.15384615384615385,0.2359975055110802,0.5478849411010742,0.0,0.15584415584415584,0.11173184357541899,0.5763866901397705,0.0,0.07317073170731707,0.1813235394137251,0.4147232174873352,0.0,0.09523809523809523,0.033112582781456956,0.3537118136882782,0.0,0.1818181818181818,0.09615384615384615,0.4042651355266571
PMC10603766,206,37889008,SpheroScan: a user-friendly deep learning tool for spheroid image analysis,0.0,0.013157894736842105,0.022641509433962266,0.33434104919433594,0.0,0.17021276595744678,0.11658503986461194,0.5595057606697083,0.11236685605625016,0.2658959537572254,0.2922338665195809,0.5516692996025085,0.14613674037341814,0.2571428571428572,0.13241890959282263,0.5593981146812439,0.0,0.16216216216216217,0.040160642570281124,0.4681325852870941,0.0,0.20000000000000004,0.12295081967213116,0.45783600211143494,0.0,0.0,0.024509803921568627,0.3797036111354828,0.1264452739083493,0.33333333333333337,0.27768342391304346,0.6116454005241394,0.0,0.10526315789473684,0.10204081632653063,0.4392353594303131,0.0,0.02173913043478261,0.07299270072992702,0.3601018190383911,,,,,0.0,0.0,0.004205214465937763,0.34034550189971924,0.0,0.30303030303030304,0.37488687782805435,0.5304492115974426,0.0,0.0588235294117647,0.125,0.4168025851249695,0.4067118286530621,0.5316455696202531,0.4837261503928171,0.7141903638839722,0.10541915333548521,0.25,0.2557842548076923,0.5094820261001587,0.0,0.1348314606741573,0.1857142857142857,0.5265304446220398,0.0,0.10526315789473684,0.22108843537414966,0.4487612843513489,,,,,,,,,,,,
PMC10646871,203,37966428,Euler characteristic curves and profiles: a stable shape invariant for big data problems,0.0,0.0,0.0,0.3025578558444977,0.0,0.044444444444444446,0.013262599469496022,0.338838666677475,0.0,0.04166666666666667,0.013262599469496022,0.3549240231513977,0.0,0.0,0.0,0.3031817674636841,0.0,0.016666666666666666,0.0045207956600361665,0.30922025442123413,,,,,0.0,0.0,0.0,0.34745606780052185,0.0,0.0,0.0,0.38539397716522217,0.0,0.07999999999999999,0.029411764705882353,0.3740260601043701,0.0,0.0,0.0,0.40089747309684753,,,,,0.0,0.0,0.0,0.30886125564575195,0.0,0.0,0.0,0.37768352031707764,,,,,0.0,0.14285714285714288,0.08064516129032259,0.39151012897491455,0.0,0.0,0.0,0.2922084629535675,,,,,0.0,0.0,0.0,0.35159629583358765,0.0,0.0,0.0,0.3133772909641266,0.0,0.07142857142857144,0.02232142857142857,0.34491071105003357,0.0,0.0,0.0,0.2922084629535675
