uid,pmcid,pmid,year
10606792,,10606792,2000
10606793,,10606793,2000
10606794,,10606794,2000
10606795,,10606795,2000
10612829,,10612829,2000
10617552,PMC1117340,10617552,2000
10623530,,10623530,2000
10628965,PMC1460902,10628965,2000
10636940,,10636940,2000
10641959,PMC61451,10641959,2000
10641961,PMC61453,10641961,2000
10642885,,10642885,2000
10648846,,10648846,2000
10648847,,10648847,2000
10648848,,10648848,2000
10648849,,10648849,2000
10659432,,10659432,2000
10660265,,10660265,2000
10675714,,10675714,2000
10675715,,10675715,2000
10675716,,10675716,2000
10675717,,10675717,2000
10680351,,10680351,2000
10680354,,10680354,2000
10680361,,10680361,2000
10685569,,10685569,2000
10689346,,10689346,2000
10691274,,10691274,2000
10699680,,10699680,2000
10702927,,10702927,2000
10708255,,10708255,2000
10708646,,10708646,2000
10708647,,10708647,2000
10709901,,10709901,2000
10710931,,10710931,2000
10710934,,10710934,2000
10716876,,10716876,2000
10730596,PMC61466,10730596,2000
10737746,,10737746,2000
10738667,,10738667,2000
10740258,,10740258,2000
10753229,,10753229,2000
10757479,,10757479,2000
10758142,,10758142,2000
10761142,,10761142,2000
10764306,PMC2737132,10764306,2000
10767613,,10767613,2000
10767614,,10767614,2000
10767615,,10767615,2000
10767616,,10767616,2000
10767617,,10767617,2000
10770830,,10770830,2000
10770834,,10770834,2000
10770836,,10770836,2000
10770867,,10770867,2000
10773348,,10773348,2000
10776884,,10776884,2000
10780791,,10780791,2000
10786076,,10786076,2000
10786078,,10786078,2000
10794697,,10794697,2000
10797298,,10797298,2000
10798706,,10798706,2000
10798708,,10798708,2000
10798709,,10798709,2000
10798711,,10798711,2000
10800613,,10800613,2000
10805112,,10805112,2000
10813722,,10813722,2000
10814906,,10814906,2000
10814907,,10814907,2000
10814908,,10814908,2000
10816981,,10816981,2000
10821940,,10821940,2000
10824301,,10824301,2000
10824373,,10824373,2000
10826282,,10826282,2000
10833164,PMC61430,10833164,2000
10833166,PMC61432,10833166,2000
10833171,PMC61437,10833171,2000
10834247,,10834247,2000
10834396,,10834396,2000
10837909,,10837909,2000
10842978,,10842978,2000
10842979,,10842979,2000
10844879,PMC1297970,10844879,2000
10847362,PMC3453292,10847362,2000
10847365,PMC3453280,10847365,2000
10861926,,10861926,2000
10871263,,10871263,2000
10877475,,10877475,2000
10881370,,10881370,2000
10882204,,10882204,2000
10883336,,10883336,2000
10884247,PMC1127757,10884247,2000
10890390,,10890390,2000
10890502,,10890502,2000
10891785,,10891785,2000
10892239,,10892239,2000
10892349,PMC11147082,10892349,2000
10900831,,10900831,2000
10902178,,10902178,2000
10902197,,10902197,2000
10904997,,10904997,2000
10905811,,10905811,2000
10906611,,10906611,2000
10906612,,10906612,2000
10906613,,10906613,2000
10906614,,10906614,2000
10906615,,10906615,2000
10916265,,10916265,2000
10916728,,10916728,2000
10916729,,10916729,2000
10916730,,10916730,2000
10916731,,10916731,2000
10916732,,10916732,2000
10916733,,10916733,2000
10916734,,10916734,2000
10916735,,10916735,2000
10916736,,10916736,2000
10923198,,10923198,2000
10933237,,10933237,2000
10935462,,10935462,2000
10935464,,10935464,2000
10935758,,10935758,2000
10935762,,10935762,2000
10935763,,10935763,2000
10936748,,10936748,2000
10936749,,10936749,2000
10936750,,10936750,2000
10936751,,10936751,2000
10937362,,10937362,2000
10937966,,10937966,2000
10937968,,10937968,2000
10938067,PMC1127830,10938067,2000
10938787,,10938787,2000
10939343,,10939343,2000
10939344,,10939344,2000
10939346,,10939346,2000
10942891,,10942891,2000
10943273,,10943273,2000
10943274,,10943274,2000
10946584,,10946584,2000
10953238,,10953238,2000
10953243,,10953243,2000
10953246,,10953246,2000
10953247,,10953247,2000
10953251,,10953251,2000
10957007,,10957007,2000
10963863,,10963863,2000
10964792,PMC1638296,10964792,2000
10972327,,10972327,2000
10977522,,10977522,2000
10977544,,10977544,2000
10977548,,10977548,2000
10977572,,10977572,2000
10977737,,10977737,2000
10978911,,10978911,2000
10981539,,10981539,2000
10982682,,10982682,2000
10984462,PMC79038,10984462,2000
10987510,,10987510,2000
10987513,,10987513,2000
10987515,,10987515,2000
10987519,,10987519,2000
10987520,,10987520,2000
10992751,,10992751,2000
10998383,PMC2627958,10998383,2000
10998586,,10998586,2000
10998587,,10998587,2000
10998588,,10998588,2000
10998589,,10998589,2000
10999363,,10999363,2000
11010117,,11010117,2000
11010336,,11010336,2000
11011104,,11011104,2000
11011788,,11011788,2000
11011792,,11011792,2000
11011794,,11011794,2000
11012132,,11012132,2000
11014667,,11014667,2000
11016027,,11016027,2000
11021339,,11021339,2000
