uid,pmcid,pmid,year
10618406,PMC26651,10618406,2000
10641961,PMC61453,10641961,2000
10675895,,10675895,2000
10677459,PMC34296,10677459,2000
10679337,,10679337,2000
10730596,PMC61466,10730596,2000
10730599,PMC61469,10730599,2000
10756038,PMC111940,10756038,2000
10779110,,10779110,2000
10779496,PMC310858,10779496,2000
10800613,,10800613,2000
10829402,,10829402,2000
10850757,,10850757,2000
10877475,,10877475,2000
10892809,PMC2144653,10892809,2000
10896187,,10896187,2000
10902176,PMC2709531,10902176,2000
10902194,,10902194,2000
10906614,,10906614,2000
10939346,,10939346,2000
10953242,,10953242,2000
10953243,,10953243,2000
10955517,,10955517,2000
10977072,,10977072,2000
10977088,,10977088,2000
10984470,PMC79046,10984470,2000
10998383,PMC2627958,10998383,2000
11001511,,11001511,2000
11062234,PMC129669,11062234,2000
11079836,PMC2243970,11079836,2000
11079864,PMC2244093,11079864,2000
11079876,PMC2243768,11079876,2000
11079887,PMC2243979,11079887,2000
11079894,PMC2243761,11079894,2000
11079905,PMC2243855,11079905,2000
11079917,PMC2243937,11079917,2000
11079919,PMC2243935,11079919,2000
11079920,PMC2244085,11079920,2000
11079942,PMC2243738,11079942,2000
11079965,PMC2243916,11079965,2000
11079986,PMC2243774,11079986,2000
11080006,PMC2243881,11080006,2000
11080018,PMC2244081,11080018,2000
11080019,PMC2243822,11080019,2000
11080021,PMC2243981,11080021,2000
11084712,,11084712,2000
11102292,PMC1240158,11102292,2000
11108469,,11108469,2000
11114172,PMC18901,11114172,2000
11119313,PMC2448380,11119313,2000
11120680,,11120680,2000
11185419,,11185419,2000
11185421,,11185421,2000
11187662,,11187662,2000
11195938,,11195938,2000
11198238,,11198238,2000
11833978,,11833978,2000
18249796,,18249796,2000
18249798,,18249798,2000
18249807,,18249807,2000
11141514,PMC134593,11141514,2001
11158658,,11158658,2001
11178916,,11178916,2001
11230170,PMC311041,11230170,2001
11238265,,11238265,2001
11262957,,11262957,2001
11272703,,11272703,2001
11284725,PMC1221749,11284725,2001
11286426,,11286426,2001
11310155,,11310155,2001
11310553,,11310553,2001
11316343,,11316343,2001
11318434,,11318434,2001
11318435,,11318435,2001
11318498,,11318498,2001
11327775,,11327775,2001
11370897,,11370897,2001
11376540,,11376540,2001
11377149,,11377149,2001
11394484,PMC1284812,11394484,2001
11401763,PMC1240311,11401763,2001
11404819,PMC1226028,11404819,2001
11406594,PMC150198,11406594,2001
11411636,,11411636,2001
11433035,PMC55760,11433035,2001
11457944,,11457944,2001
11461688,,11461688,2001
11470218,,11470218,2001
11472998,,11472998,2001
11474801,,11474801,2001
11482131,,11482131,2001
11483157,PMC35360,11483157,2001
11504890,PMC55866,11504890,2001
11518664,,11518664,2001
11535203,,11535203,2001
11551815,,11551815,2001
11553813,PMC58553,11553813,2001
11557883,,11557883,2001
11560066,,11560066,2001
11574674,PMC60242,11574674,2001
11583923,,11583923,2001
11583925,,11583925,2001
11591660,PMC100094,11591660,2001
11597334,PMC57797,11597334,2001
11604785,,11604785,2001
11604940,,11604940,2001
11604960,,11604960,2001
11606367,,11606367,2001
11677741,,11677741,2001
11686886,PMC59578,11686886,2001
11691853,PMC311150,11691853,2001
11700161,,11700161,2001
11704438,,11704438,2001
11708322,,11708322,2001
