Year,ML_Collected,ML_HitCount,AI_Collected,AI_HitCount,Combined_Deduplicated,Naive_Sum,Overlap
2000,64,64,387,387,425,451,26
2001,95,95,402,402,468,497,29
2002,136,136,434,434,526,570,44
2003,185,185,538,538,661,723,62
2004,266,266,1247,1247,1412,1513,101
2005,400,400,1899,1899,2162,2299,137
2006,555,555,2008,2008,2362,2563,201
2007,730,730,2238,2238,2699,2968,269
2008,1014,1014,2485,2485,3150,3499,349
2009,1310,1310,1952,1952,2901,3262,361
2010,1609,1609,1702,1702,2908,3311,403
2011,1952,1952,1639,1639,3133,3591,458
2012,2265,2265,1564,1564,3337,3829,492
2013,3037,3037,2009,2009,4385,5046,661
2014,3892,3892,2257,2257,5303,6149,846
2015,5186,5186,1376,1376,6123,6562,439
2016,6531,6531,1543,1543,7462,8074,612
2017,9155,9155,2261,2261,10432,11416,984
2018,13993,13993,4350,4350,16384,18343,1959
2019,20725,20725,8007,8007,24905,28732,3827
2020,34720,34721,18401,18401,44415,53121,8706
2021,49514,49514,28215,28215,63831,77729,13898
2022,62935,62935,39296,39298,82624,102231,19607
2023,67310,67310,46381,46382,92276,113691,21415
2024,80543,80543,63951,63951,116738,144494,27756
2025,109985,109987,119944,119946,187613,229929,42316
