PMCID	PMID	Journal	Curator_ID
PMC10716825	38091508	GigaScience	670e3b6e908d74f9cb331be6
PMC10730818	38114456	Nature communications	65e73fdb92c76639b8e309f3
PMC10940896	38496213	GigaByte (Hong Kong, China)	670e68a5908d74f9cb33dfa4
PMC11258913	39028588	GigaScience	64ffbbb492c76639b801efb4
PMC11659980	39704702	GigaScience	668fc3487089c469b454be8b
PMC11899596	40072905	GigaScience	678141b2dd85bd59b30d3f8b
PMC12366053	40830753	BMC bioinformatics	64a80caa92c76639b8082168
PMC2752621	19667082	Bioinformatics (Oxford, England)	6312169df3794236aa9879e1
PMC3292016	22408447	International journal of molecular sciences	6312169df3794236aa987a1b
PMC3967921	24675637	PLoS computational biology	6312169df3794236aa9879fc
PMC4058174	24977146	BioMed research international	6312169df3794236aa9879f2
PMC4289375	25404408	BMC genomics	6312169df3794236aa9879e7
PMC4315323	25783485	BMC medical genomics	6312169df3794236aa9879ed
PMC4589233	26422234	PloS one	6312169df3794236aa9879fc
PMC4606520	26495028	Computational and mathematical methods in medicine	6312169df3794236aa9879f4
PMC4894951	27222432	Nature communications	6312169df3794236aa9879f6
PMC5034704	27488918	The Journal of pharmacology and experimental therapeutics	6312169df3794236aa987a01
PMC5079830	27592011	Journal of computer-aided molecular design	6312169df3794236aa9879f2
PMC5650527	28624633	Drug discovery today	6312169df3794236aa9879f4
PMC5821114	28065610	Current biology : CB	6312169df3794236aa987a03
PMC5910428	29679026	Scientific reports	65e73fdb92c76639b8e309f3
PMC6436896	30857591	eLife	6312169df3794236aa9879fc
PMC6548586	30877925	Multiple sclerosis and related disorders	6312169df3794236aa9879f6
PMC6679781	31148311	Human brain mapping	6312169df3794236aa987a36
PMC6851483	31407406	Proteins	6312169df3794236aa987a01
PMC7035778	33431047	Journal of cheminformatics	65e73fdb92c76639b8e309f3
PMC7212484	32173600	Genomics, proteomics & bioinformatics	66c495857089c469b477b4ce
PMC7692026	33304713	Biophysics and physicobiology	66c495857089c469b477b4ce
PMC7721480	33329703	Frontiers in genetics	6312169df3794236aa987a01
PMC8230313	34070374	Metabolites	6312169df3794236aa9879ed
