Group,Subfield,DOME_Field,PMCID,Category,Source_Snippet
Data,availability,Data/availability,PMC7807830,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC11613580,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC11500067,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC7418871,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC11697584,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC11376311,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC11001700,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC7731980,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC7714088,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC4338520,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,availability,Data/availability,PMC7259480,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC11889042,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC6553587,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC6005206,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC8233218,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available. * **Dataset URL/License**:   * **NSL-KDD**: Not enough information is available.   * **UNSW-NB15**: Not enough information is available.
Data,availability,Data/availability,PMC3188401,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC11842623,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC11551872,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC7816669,NotEnoughOnly,* Dataset Publicly Available: Not enough information is available.  * Dataset URL/License: Not enough information is available.
Data,availability,Data/availability,PMC11736685,NotEnoughOnly,* **Dataset Publicly Available**: Not enough information is available.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC11583843,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC7238365,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   * Not enough information is available.
Data,availability,Data/availability,PMC5804178,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC7406872,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC4262615,PartialRejection,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * **Arcene**: Not enough information is available | Not enough information is available   * **Dorothea**: Not enough information is available | Not enough information is available   * **Gisette**: Not enough information is available | Not enough information is available   * **Golub**: Not enough information is available | Not eno
Data,availability,Data/availability,PMC11254488,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC6466885,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC4442797,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC10153038,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC7507193,PartialRejection,* **Dataset Publicly Available**: No.  * **Dataset URL/License**: Not enough information is available.
Data,availability,Data/availability,PMC6266744,Failure,* **Dataset Publicly Available**: Yes. * **Dataset URL/License**:   * https://doi.org/10.6084/m9.figshare.699494613 | Creative Commons Zero “No rights reserved” data waiver (CC0 1.0 Public domain dedication).
Data,availability,Data/availability,PMC6044251,Failure,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * **Mizar Mathematical Library**: http://mizar.org/JFM | Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/).
Data,availability,Data/availability,PMC10521739,Failure,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * https://github.com/aL3x-O-o-Hung/reverberation-artifact-segmentation-and-quantiﬁcation | CC-BY
Data,availability,Data/availability,PMC8009088,Failure,* **Dataset Publicly Available**: No.  * **Dataset URL/License**:   - **Multi-omic cancer benchmark**: http://acgt.cs.tau.ac.il/multi_omic_benchmark/download.html | No restrictions.   - **Brain age**: https://figshare.com/articles/dataset/The_Pediatric_Template_of_Brain_Perfusion_PTBP_/923555 | No restrictions.   - **PING for imaging genetics study**: https://chd.ucsd.edu/research/ping.html and ht
Data,availability,Data/availability,PMC7889718,Failure,* **Dataset Publicly Available**: Yes.  * **Dataset URL/License**:   * URL: http://creativecommons.org/licenses/by/4.0/ | License: Creative Commons Attribution 4.0 International License.
Data,provenance,Data/provenance,PMC7807830,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC11613580,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC11500067,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC7418871,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC11697584,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC11376311,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC11001700,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC7731980,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC7714088,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC4338520,IrrelevantSuccess,Not a relevant AI or machine learning publication
Data,provenance,Data/provenance,PMC11583843,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC7238365,NotEnoughOnly,* **Data Source Name**:   * Plant growth condition database: Not enough information is available.   * Several trusted databases: Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC7406872,NotEnoughOnly,* Data Source Name:   * Not enough information is available  * Total Data Points:   * Not enough information is available  * Previous Use:   * Not enough information is available
Data,provenance,Data/provenance,PMC11254488,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC6466885,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC5351721,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC8330135,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC7126548,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC7259480,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC7170662,NotEnoughOnly,* **Data Source Name**:   * Not enough information is available.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC5804178,PartialRejection,"* **Data Source Name**:   * Wolf howl recordings:     * Indian wolf howls: Author-generated data.     * Other wolf subspecies: Various sources including captive and wild wolves (Supplementary Table S2).     * Kershenbaum et al. (2016): Used for howls of other wolf subspecies.  * **Total Data Points**:   * Total Data Points: N=1,070 howls.  * **Previous Use**:   * Previous Use: No.     * Not enough"
Data,provenance,Data/provenance,PMC4442797,PartialRejection,"* **Data Source Name**:   * Medline documents  * **Total Data Points**:   * N=26,853 (MeSH terms)   * N=188,923 (words in the vocabulary)  * **Previous Use**:   * Not enough information is available"
Data,provenance,Data/provenance,PMC10153038,PartialRejection,* **Data Source Name**:   * Historical and future ISMIP2a dataset of Representative Concentration Pathway (RCP)   * Land-use Harmonized v2.0 project   * Not enough information is available for other datasets.  * **Total Data Points**:   * Not enough information is available.  * **Previous Use**:   * Not enough information is available.
Data,provenance,Data/provenance,PMC6266744,PartialRejection,"* **Data Source Name**:   * Resting state relative power EEG data and Bayley Scales of Infant Development Scales (version 3) scores: figshare (https://doi.org/10.6084/m9.figshare.699494613).  * **Total Data Points**:   * N=32 infants (11 at-risk, 21 typically developing).   * EEG data after rejection:     * AR visit 1: N=11     * AR visit 3: N=9     * TD visit 1: N=21     * TD visit 3: N=13  * **P"
Data,provenance,Data/provenance,PMC7507193,PartialRejection,* **Data Source Name**:   * Seminal plasma samples: Author-generated data.  * **Total Data Points**:   * N=40 (20 healthy controls + 20 asthenozoospermic patients).  * **Previous Use**:   * No. Not enough information is available.
Data,provenance,Data/provenance,PMC6105292,PartialRejection,"* **Data Source Name**:   * Twitter: 2 billion tweets.   * Health and Wellness Yahoo! Groups: 27,290 groups with 12,519,807 messages.   * Zika-related Google search queries, Twitter microblogs, and HealthMap digital surveillance system.  * **Total Data Points**:   * Twitter: N=2,000,000,000.   * Health and Wellness Yahoo! Groups: N=12,519,807.   * Zika-related Google search queries, Twitter microb"
Data,provenance,Data/provenance,PMC6437637,PartialRejection,* **Data Source Name**:   * Lipidomics Data: Author-generated data from an experiment involving mice fed with either control or high-fat diet.  * **Total Data Points**:   * N=20 (10 mice fed a control diet and 10 mice fed a high-fat diet).  * **Previous Use**:   * No. Not enough information is available.
Data,provenance,Data/provenance,PMC11307920,PartialRejection,* **Data Source Name**:   * Author-generated data.   * Not enough information is available to identify a specific name for the dataset.  * **Total Data Points**:   * N=36 patients.   * N=38 vessels.   * N=45 lesions.  * **Previous Use**:   * No.   * Not enough information is available to identify if this dataset has been used in previous publications or benchmarks.
Data,provenance,Data/provenance,PMC7501130,PartialRejection,* **Data Source Name**:   * Gut Microbiome Data: Stool samples collected from patients during the study.   * Metabolic Biomarkers: Measured by the certified routine biochemistry lab at the University Hospital Graz.   * Gut Permeability and Bacterial Translocation: Serum samples measured using ELISA and detection kits.   * Neutrophil Function: Assessed in heparinized whole blood using Phagoburst an
Data,provenance,Data/provenance,PMC10562350,PartialRejection,"* **Data Source Name**:   * **Forest Growth and Carbon Balance Model**: PREBAS.   * **Historical Maps**: Not enough information is available.   * **Remote Sensing Data**: Not enough information is available.   * **Catchment-scale Eco-hydrological Models**: PERSiST, INCA-C.   * **Lake Thermo- and Phytoplankton Dynamics Model**: MyLake model.   * **Tree Species and Deadwood Maps**: Not enough inform"
