Group,Subfield,Category,Count
Data,availability,Full,22
Data,availability,Missing,21
Data,availability,Partial,969
Data,provenance,Full,244
Data,provenance,Missing,3
Data,provenance,Partial,765
Data,redundancy,Full,398
Data,redundancy,Missing,7
Data,redundancy,Partial,607
Data,splits,Full,269
Data,splits,Missing,58
Data,splits,Partial,685
Evaluation,availability,Full,51
Evaluation,availability,Missing,858
Evaluation,availability,Partial,103
Evaluation,comparison,Full,857
Evaluation,comparison,Partial,155
Evaluation,confidence,Full,531
Evaluation,confidence,Partial,481
Evaluation,measure,Full,948
Evaluation,measure,Partial,64
Evaluation,method,Full,947
Evaluation,method,Missing,52
Evaluation,method,Partial,13
Model,availability,Full,16
Model,availability,Missing,3
Model,availability,Partial,993
Model,duration,Full,31
Model,duration,Missing,300
Model,duration,Partial,681
Model,interpretability,Full,972
Model,interpretability,Partial,40
Model,output,Full,979
Model,output,Partial,33
Optimisation,algorithm,Full,996
Optimisation,algorithm,Partial,16
Optimisation,config,Full,26
Optimisation,config,Missing,86
Optimisation,config,Partial,900
Optimisation,encoding,Full,834
Optimisation,encoding,Missing,111
Optimisation,encoding,Partial,67
Optimisation,features,Full,551
Optimisation,features,Missing,47
Optimisation,features,Partial,414
Optimisation,fitting,Full,589
Optimisation,fitting,Missing,1
Optimisation,fitting,Partial,422
Optimisation,meta,Full,346
Optimisation,meta,Missing,18
Optimisation,meta,Partial,648
Optimisation,parameters,Full,35
Optimisation,parameters,Missing,28
Optimisation,parameters,Partial,949
Optimisation,regularization,Full,509
Optimisation,regularization,Missing,6
Optimisation,regularization,Partial,497
