PMCID,DOI,Field,Category,CopilotValue,HumanValue,CopilotHasNumericOrPercent,HumanHasNumericOrPercent,NumericOrPercentPresence,NumericOrPercentComparable,NumericMatch,PercentMatch,DirectNumericPercentMatch,CopilotMissingMode,HumanStrongNegative,NeiRelevant,NeiScore,NeiRule,CopilotYesNo,HumanYesNo,YesNoRelevant,YesNoComparable,YesNoScore,YesNoRule,CopilotUrlCount,HumanUrlCount,UrlRelevant,UrlComparable,UrlScore,UrlRule
PMC10087011,10.1093/gigascience/giad021,dataset/provenance,dataset,Not a relevant AI or machine learning publication,DESI-MSI experiments of whole mouse kidney and renal tumor specimens. Two MSI datasets and their corresponding H&E microscopy images.  The MSI data have been deposited to the ProteomeXchange Consortium (http://proteomecentral.proteomexchange.org) via the iProX partner repository with the dataset identifier PXD038876.,False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,dataset/splits,dataset,Not a relevant AI or machine learning publication,Not applicable ,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,dataset/redundancy,dataset,Not a relevant AI or machine learning publication,Not applicable ,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,dataset/availability,dataset,Not a relevant AI or machine learning publication,"Yes, The MSI data have been deposited to the ProteomeXchange Consortium (http://proteomecentral.proteomexchange.org) via the iProX partner repository with the dataset identifier PXD038876.",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/algorithm,optimization,Not a relevant AI or machine learning publication,"Spectral Clustering algorithm with  n_clusters=3 to 8, affinity='cosine' or 'nearest neighbors', n_components=5, assign_labels='kmeans'",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/meta,optimization,Not a relevant AI or machine learning publication,No,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,no,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/encoding,optimization,Not a relevant AI or machine learning publication,"An inner layer (conv5-block32-concat) of DenseNet 201 was used as our extractor of choice to encode the stain color and morphology of a 2D H&E image tile into a set of informative histomorphological features (HF). To stay in keeping with ImageNet, our input tiles had to be resized to [224, 224, 3] through bilinear interpolation and each color channel had to be centered to zero . Eventually, the output arrays after the concatenation operation at the conv5_block32 layer of DenseNet201 were 2-D globally average-pooled, Min-Max scaled, and reshaped as a ""histomorphological feature (HF) spectrum"" of 1,920 variables.",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/parameters,optimization,Not a relevant AI or machine learning publication,"n_clusters were selected objectively by a multimodal fusion method proposed in our manuscript, the affinity and n_components were empirically configured to produce visually less fragmented regions ",False,False,False,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/features,optimization,Not a relevant AI or machine learning publication,"HF data cube had 1920 histomorphological features. For the MSI data of whole kidney, the number of m/z variables was 87. For the tumor data, the number of m/z variables was 89. Feature selection was performed to include only the ions that had a stronger signal in the foreground tissue areas than the background glass substrates.",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/fitting,optimization,Not a relevant AI or machine learning publication,Kmeans,False,False,False,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/regularization,optimization,Not a relevant AI or machine learning publication,Not applicable ,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,optimization/config,optimization,Not a relevant AI or machine learning publication,Not applicable ,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,model/interpretability,model,Not a relevant AI or machine learning publication,Not applicable,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,model/output,model,Not a relevant AI or machine learning publication,Clustering ,False,False,False,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,model/duration,model,Not a relevant AI or machine learning publication,less than 1 min,False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,model/availability,model,Not a relevant AI or machine learning publication,"Yes, available at https://github.com/guoang4github/ROIforMSI/ (Licence: GPL-3)",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,evaluation/method,evaluation,Not a relevant AI or machine learning publication,A multimodal fusion-based method was proposed in our manuscript. Visual evaluation by an expert was also performed.,False,False,False,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,evaluation/measure,evaluation,Not a relevant AI or machine learning publication,Cohen's kappa score between MSI- and Histology-segmentation results,False,False,False,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,evaluation/comparison,evaluation,Not a relevant AI or machine learning publication,"Yes, our method was compared with two internal validation measures: (1) segmentation was evaluated by how closely it resembled the low-dimension overview of the high‐dimensional molecular content of MSI data obtained by nonlinear dimension reduction techniques (here we used UMAP). The resemblance between the UMAP image and the segmentation maps was measured by applying a Canny edge detector to both and computing their edge correlation.  (2) the Davies–Bouldin index (DBI) was used to find the optimal segmentation for MSI data. DBI measures the ratio of within-cluster distances (the measure of intra-cluster compactness) to between-cluster distances (the measure of inter-cluster separation), so a smaller DBI indicates better-defined clusters and thus supposedly better segmentation. ",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,evaluation/confidence,evaluation,Not a relevant AI or machine learning publication,not applicable ,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10087011,10.1093/gigascience/giad021,evaluation/availability,evaluation,Not a relevant AI or machine learning publication,No,False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,none,no,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
