Category,Field,TotalCount,ComparableCount,PctMatch,PctBothPresentNoMatch,PctCopilotOnly,PctHumanOnly
dataset,dataset/availability,125,44,26.400000000000002,8.799999999999999,26.400000000000002,38.4
dataset,dataset/provenance,213,155,50.70422535211267,22.065727699530516,12.206572769953052,15.023474178403756
dataset,dataset/redundancy,169,61,23.076923076923077,13.017751479289942,49.70414201183432,14.201183431952662
dataset,dataset/splits,208,146,45.67307692307692,24.519230769230766,13.942307692307693,15.865384615384615
evaluation,evaluation/availability,30,0,0.0,0.0,23.333333333333332,76.66666666666667
evaluation,evaluation/comparison,119,40,19.327731092436977,14.285714285714285,52.10084033613446,14.285714285714285
evaluation,evaluation/confidence,126,23,7.936507936507936,10.317460317460316,66.66666666666666,15.079365079365079
evaluation,evaluation/measure,133,53,35.338345864661655,4.511278195488721,42.857142857142854,17.293233082706767
evaluation,evaluation/method,174,68,25.287356321839084,13.793103448275861,54.02298850574713,6.896551724137931
model,model/availability,69,29,33.33333333333333,8.695652173913043,18.84057971014493,39.130434782608695
model,model/duration,90,28,16.666666666666664,14.444444444444443,31.11111111111111,37.77777777777778
model,model/interpretability,66,6,1.5151515151515151,7.575757575757576,45.45454545454545,45.45454545454545
model,model/output,68,8,11.76470588235294,0.0,63.23529411764706,25.0
optimization,optimization/algorithm,60,7,8.333333333333332,3.3333333333333335,21.666666666666668,66.66666666666666
optimization,optimization/config,89,18,13.48314606741573,6.741573033707865,56.17977528089888,23.595505617977526
optimization,optimization/encoding,172,61,22.674418604651162,12.790697674418606,52.32558139534884,12.209302325581394
optimization,optimization/features,174,96,32.18390804597701,22.988505747126435,10.344827586206897,34.48275862068966
optimization,optimization/fitting,192,31,6.770833333333333,9.375,77.60416666666666,6.25
optimization,optimization/meta,39,5,5.128205128205128,7.6923076923076925,58.97435897435898,28.205128205128204
optimization,optimization/parameters,166,66,21.084337349397593,18.67469879518072,34.93975903614458,25.301204819277107
optimization,optimization/regularization,103,25,12.62135922330097,11.650485436893204,61.165048543689316,14.563106796116504
