PMCID,DOI,Field,Category,CopilotValue,HumanValue,CopilotHasNumericOrPercent,HumanHasNumericOrPercent,NumericOrPercentPresence,NumericOrPercentComparable,NumericMatch,PercentMatch,DirectNumericPercentMatch,CopilotMissingMode,HumanStrongNegative,NeiRelevant,NeiScore,NeiRule,CopilotYesNo,HumanYesNo,YesNoRelevant,YesNoComparable,YesNoScore,YesNoRule,CopilotUrlCount,HumanUrlCount,UrlRelevant,UrlComparable,UrlScore,UrlRule
PMC10174551,10.1371/journal.pcbi.1011001,dataset/provenance,dataset,"* **Data Source Name**:
  * **n9k-train**: Not enough information is available.
  * **n9k-novel**: Not enough information is available.
  * **gut**: Not enough information is available.
  * **skin**: Not enough information is available.
  * **oral**: Not enough information is available.
  * **marine**: Not enough information is available.
  * **plant**: Not enough information is available.
  * **UHGG**: Not enough information is available.
  * **TwinsUK**: Not enough information is available.
  * **Animal-gut**: Not enough information is available.
  * **Pinnell2019**: Not enough information is available.
  * **Mantri2021**: Not enough information is available.
  * **MarineMetagenomeDB**: Not enough information is available.
  * **CAMI2 marine**: https://frl.publisso.de/data/frl:6425521/marine/
  * **CAMI2 plant-associated**: https://frl.publisso.de/data/frl:6425521/plant_associated/
  * **TerrestrialMetagenomeDB**: Not enough information is available.

* **Total Data Points**:
  * **n9k-train**: 52.5M contigs.
  * **n9k-novel**: 6.8M contigs.
  * **gut**: 0.44M contigs.
  * **skin**: 0.32M contigs.
  * **oral**: 0.41M contigs.
  * **marine**: 1.0M contigs.
  * **plant**: 1.0M contigs.
  * **UHGG**: Not enough information is available.
  * **TwinsUK**: Not enough information is available.
  * **Animal-gut**: Not enough information is available.
  * **Pinnell2019**: Not enough information is available.
  * **Mantri2021**: Not enough information is available.
  * **MarineMetagenomeDB**: Not enough information is available.
  * **TerrestrialMetagenomeDB**: Not enough information is available.

* **Previous Use**:
  * **n9k-train**: No.
  * **n9k-novel**: No.
  * **gut**: No.
  * **skin**: No.
  * **oral**: No.
  * **marine**: No.
  * **plant**: No.
  * **UHGG**: Yes. Cited as [11].
  * **TwinsUK**: Yes. Cited as [27].
  * **Animal-gut**: Yes. Cited as [28].
  * **Pinnell2019**: Yes. Cited as [29].
  * **Mantri2021**: Yes. Cited as [30].
  * **MarineMetagenomeDB**: Yes. Cited as [31].
  * **TerrestrialMetagenomeDB**: No.
  * **CAMI2 marine**: Not enough information is available.
  * **CAMI2 plant-associated**: Not enough information is available.","An existing database was the primary source of the data - Release 202 of the Genome Taxonomy Database (GTDB).
-18,000 reference genomes from the database were selected for further use.
-From this database the authors created a synthetic dataset comprised of bacterial and archaeal genomes with the simulation software 'Metagenome read simulation of multiple synthetic communities' (https://github.com/nick-youngblut/MGSIM).
-Illumina ART read simulator was used to generate paired-end Illumina reads of length 100 or 150 using either the default “Illumina HiSeq 2500” error profile or the “HiSeq2500L150R1/2” error profile used in CAMISIM.
-Information detailed with parameters of the simulation in 'Table 1. Parameter values used in the simulation pipeline.'",True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,mixed,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * **n9k-train and n9k-novel datasets**: http://ftp.tue.mpg.de/ebio/projects/ResMiCo/ | Not enough information is available.
  * **UHGG**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **TwinsUK**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **Animal-gut**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **Pinnell2019**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **Mantri2021**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **MarineMetagenomeDB**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.","Yes - data available: http://ftp.tue.mpg.de/ebio/projects/ResMiCo/
This is on the: MPI for Biology FTP server, author noted choice due to size of datasets.",True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC10174551,10.1371/journal.pcbi.1011001,optimization/config,optimization,"* Configuration Source: The list of optimized hyper-parameters and the attempted values are provided in Table B in S1 Text. Source: Supplementary.
* Configuration Source: The ResMiCo model was built using TensorFlow. URL: http://download.tensorflow.org/paper/whitepaper2015.pdf | Not enough information is available.
* Configuration Source: The MGSIM tool is available at https://github.com/nick-youngblut/MGSIM. Not enough information is available.
* Configuration Source: The n9k-train and n9k-novel datasets are available at http://ftp.tue.mpg.de/ebio/projects/ResMiCo/. Not enough information is available.",The list of optimised hyperparameters and the attempted values are provided in Table B in S1 Text. (https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1011001#pcbi.1011001.s001). Unclear if further information available and this is unlikely based on the GitHub which is functionally in place to share reuse of the model vs considerations of sharing precise configuration information.  ,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,3,1,True,True,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,model/availability,model,"* Source Code Released: Yes.
* Code URL/License:
  * Source: https://github.com/nick-youngblut/MGSIM | License: Not enough information is available.
* Simplified Run Method:
  * Not enough information is available.",Main ResMiCo GitHub (python package and snakemake pipeline): https://github.com/leylabmpi/ResMiCo - MIT license. Dataset simulation pipeline used available in Snakemake: https://doi.org/10.1093/bioinformatics/bts480 . Dockerfiles noted in the repo but no VMs/web server. Direct pip install possible from a command line and information in GitHub software repo but limitations noted for incompatibility with apple Mac machines due to chipset.  ,False,True,True,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,yes,no,True,True,0.0,yesno_mismatch,1,2,True,True,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,dataset/availability,dataset,"* **Dataset Publicly Available**: No.

* **Dataset URL/License**:
  * **Simulation Dataset**: https://github.com/ZhenjiangFan/DAG-deepVASE | Not enough information is available.
  * **TCGA Breast Invasive Carcinoma (BRCA) Data**: https://xenabrowser.net/datapages/?dataset=TCGA.BRCA.sampleMap/HiSeqV2&host=https%3A%2F%2Ftcga.xenahubs.net&removeHub=https%3A%2F%2Fxena.treehouse.gi.ucsc.edu%3A443 | Not enough information is available.
  * **Gut Microbiome Data**: https://github.com/ZhenjiangFan/DAG-deepVASE | Not enough information is available.
  * **Pediatric Sepsis Data**: Not enough information is available | Not enough information is available.",https://github.com/ZhenjiangFan/DAG-deepVASE,True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,no,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC10316696,10.1093/gigascience/giad044,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  - Source: https://github.com/ZhenjiangFan/DAG-deepVASE | License: MIT

* **Simplified Run Method**:
  - Tool Type: Docker Container.",https://github.com/ZhenjiangFan/DAG-deepVASE,False,False,False,False,False,False,False,other,False,False,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10441000,10.1093/gigascience/giad057,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/chunyuma/KGML-xDTD | License: MIT license, Apache 2.0 license, CC-BY 4.0 license, DrugBank academic license, UMLS Metathesaurus license.

* **Simplified Run Method**: Not enough information is available.","Yes, the source code released on Github: https://github.com/chunyuma/KGML-xDTD with the MIT license. Please follow the instruction on the GitHub to download and run the executable model.",True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10483879,10.1186/s12915-023-01672-5,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.
* **Dataset URL/License**:
  * **IDP-Fusion Benchmark**: http://bliulab.net/IDP-Fusion/benchmark/ | Not enough information is available.
  * **Zenodo Repository**: https://zenodo.org/record/8190096 | Not enough information is available.",All the data are available at http://bliulab.net/IDP-Fusion/benchmark/ . statistical information about data is availble in the additional file 1.,True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC10483879,10.1186/s12915-023-01672-5,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://doi.org/10.5281/zenodo.8190096 | License: Not enough information is available.

* **Simplified Run Method**:
  * Not enough information is available.",A webserver is available at http://bliulab.net/IDP-Fusion/benchmark/,True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,0.0,no_url_match
PMC10541796,10.1093/gigascience/giad071,dataset/availability,dataset,"* **Dataset Publicly Available**: No.

* **Dataset URL/License**:
  * **Income (Adult)**: https://archive.ics.uci.edu/dataset/2/adult | Not enough information is available.
  * **Bank Marketing**: https://archive.ics.uci.edu/dataset/154/ | Not enough information is available.
  * **Heart**: https://archive.ics.uci.edu/dataset/45/heart+disease | Not enough information is available.
  * **Blood Transfusion**: https://archive.ics.uci.edu/dataset/402/blood+transfusion+service+data | Not enough information is available.
  * **Breast Cancer**: https://archive.ics.uci.edu/dataset/15/breast+cancer+wisconsin+diagnostic | Not enough information is available.
  * **Student Performance**: https://archive.ics.uci.edu/dataset/320/student+performance | Not enough information is available.
  * **Abalone**: https://archive.ics.uci.edu/dataset/1/abalone | Not enough information is available.
  * **Concrete Compressive Strength**: https://archive.ics.uci.edu/dataset/374/concrete+compressive+strength | Not enough information is available.
  * **Residential Building**: https://archive.ics.uci.edu/dataset/491/residential+building+data+set | Not enough information is available.
  * **Real Estate**: https://archive.ics.uci.edu/dataset/477/real+estate+valuation+data+set | Not enough information is available.
  * **Speech ADHD**: Not enough information is available | Not enough information is available.","All UCI datasets are available via https://archive.ics.uci.edu/. 
We also provide a clear instruction together with our supporting material such as code on the following GitHub repository: https://github.com/juaml/ConfoundLeakage/tree/main.
The clinical data can be obtained upon request from the original authors as described in the supporting material.
Our repo uses the GNU Affero General Public License v3.0. 

The sensitive real-world clinical dataset is restricted and can only be requesting it from PeakProfiling GmbH with certain restrictions. See paper for more details.",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,no,none,True,False,0.0,yesno_not_comparable,10,2,True,True,0.0,no_url_match
