Category,Field,ComparedCount,MeanScore,FullMatches,HalfMatches,SuccessPercent
dataset,dataset/availability,57,0.7017543859649122,39,2,70.17543859649122
dataset,dataset/provenance,12,0.4166666666666667,5,0,41.66666666666667
dataset,dataset/redundancy,36,0.5,14,8,50.0
dataset,dataset/splits,1,1.0,1,0,100.0
evaluation,evaluation/comparison,51,0.3235294117647059,15,3,32.35294117647059
evaluation,evaluation/confidence,52,0.5480769230769231,19,19,54.807692307692314
evaluation,evaluation/measure,1,1.0,1,0,100.0
evaluation,evaluation/method,1,1.0,1,0,100.0
model,model/availability,41,0.8414634146341463,34,1,84.14634146341463
model,model/interpretability,1,1.0,1,0,100.0
model,model/output,1,0.5,0,1,50.0
optimization,optimization/config,2,0.5,1,0,50.0
optimization,optimization/encoding,2,1.0,2,0,100.0
optimization,optimization/features,3,0.6666666666666666,2,0,66.66666666666666
optimization,optimization/fitting,32,0.90625,29,0,90.625
optimization,optimization/meta,146,0.6712328767123288,97,2,67.12328767123287
optimization,optimization/regularization,2,1.0,2,0,100.0
