Category,Field,TotalCount,ComparableCount,PctFullMatch,PctPartialMixed,PctBothPresentNoMatch,PctCopilotOnly,PctHumanOnly
dataset,dataset/availability,198,57,19.696969696969695,1.0101010101010102,8.080808080808081,66.66666666666666,4.545454545454546
dataset,dataset/provenance,131,12,3.816793893129771,0.0,5.343511450381679,86.25954198473282,4.580152671755725
dataset,dataset/redundancy,197,36,7.1065989847715745,4.060913705583756,7.1065989847715745,80.20304568527918,1.5228426395939088
dataset,dataset/splits,42,1,2.380952380952381,0.0,0.0,7.142857142857142,90.47619047619048
evaluation,evaluation/availability,122,0,0.0,0.0,0.0,1.639344262295082,98.36065573770492
evaluation,evaluation/comparison,206,51,7.281553398058252,1.4563106796116505,16.019417475728158,69.41747572815534,5.825242718446602
evaluation,evaluation/confidence,195,52,9.743589743589745,9.743589743589745,7.179487179487179,62.05128205128205,11.282051282051283
evaluation,evaluation/measure,7,1,14.285714285714285,0.0,0.0,57.14285714285714,28.57142857142857
evaluation,evaluation/method,15,1,6.666666666666667,0.0,0.0,33.33333333333333,60.0
model,model/availability,201,41,16.91542288557214,0.4975124378109453,2.9850746268656714,76.11940298507463,3.482587064676617
model,model/duration,28,0,0.0,0.0,0.0,0.0,100.0
model,model/interpretability,33,1,3.0303030303030303,0.0,0.0,30.303030303030305,66.66666666666666
model,model/output,10,1,0.0,10.0,0.0,60.0,30.0
optimization,optimization/algorithm,6,0,0.0,0.0,0.0,0.0,100.0
optimization,optimization/config,94,2,1.0638297872340425,0.0,1.0638297872340425,0.0,97.87234042553192
optimization,optimization/encoding,15,2,13.333333333333334,0.0,0.0,46.666666666666664,40.0
optimization,optimization/features,100,3,2.0,0.0,1.0,56.99999999999999,40.0
optimization,optimization/fitting,199,32,14.572864321608039,0.0,1.507537688442211,82.41206030150754,1.507537688442211
optimization,optimization/meta,215,146,45.11627906976744,0.9302325581395349,21.86046511627907,19.069767441860467,13.023255813953488
optimization,optimization/parameters,18,0,0.0,0.0,0.0,22.22222222222222,77.77777777777779
optimization,optimization/regularization,96,2,2.083333333333333,0.0,0.0,5.208333333333334,92.70833333333334
